"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
Cc1ccc(CCCC(O)=O)cc1,8756-0074,5,2,1,4,2,2.84,0.24,-2.41,37.3
Cc1ccc(CCNC(c2c(N)n(c3cccc(C)c3)nn2)=O)cc1,K236-0042,1,3,3,6,6,3.48,3.2,-3.59,85.83
Cc1ccc(c(c1)C(C)(C)C)OCC(Nc1ccccc1C(N)=O)=O,2389-2890,79,3,3,7,5,3.34,2.42,-2.34,81.42
Cc1ccc(cc1)C(NC(=Cc1ccco1)C(NC1CCS(C1)(=O)=O)=O)=O,1309-1502,9,5,2,7,7,0.72,4.41,-4.69,105.5
Cc1ccc(cc1)N1C(CC(C1=O)N1CCN(CC1)c1ccccn1)=O,3076-0292,13,4,0,3,6,3.14,1.22,-1.29,56.75
Cc1ccc(cc1)OCC(NC(CC(O)=O)c1ccc(c(c1)OC)OC)=O,8015-0129,56,6,2,11,7,2.64,-0.29,-2.08,94.09
Cc1ccc(cc1)S(CC(N1CCN(CC1)c1ccc(cc1)F)=O)(=O)=O,Y031-2533,98,5,0,4,5,2.77,2.712,-4.141,66.07
Cc1ccc(cc1)S(NC(C(N1CCOCCOCCOCC1)=O)c1ccccc1)(=O)=O,3356-0058,48,7,1,6,8,1.64,2.78,-4.65,94.17
Cc1ccc(cc1)S(NC(Nc1ccc(cc1)F)=O)(=O)=O,6036-1652,14,4,2,5,5,2.79,3.07,-5.74,75.27
Cc1ccc(cc1)S(NCCC(NCCc1ccccc1)=O)(=O)=O,K784-4177,75,4,2,9,5,2.44,4.03,-5.72,75.27
Cc1ccc(cc1F)NC(Cn1c(C(=O)OC)c(C(=O)OC)nn1)=O,C200-1426,6,8,1,8,9,1.77,1.45,-0.89,112.4
Cc1ccc2c(c1)c1CCCCc1n2CC(=O)OC,3474-0122,41,2,0,3,3,3.906,4.241,-6.16,31.23
Cc1ccc2c(c1)c1c(CO2)c(C(N(C)c2cccc(c2)[Cl])=O)no1,E475-0451,113,5,0,3,5,4.4,5.14,-5.06,55.57
Cc1ccc2c(c1)c1c(cc(C(Nc3ccsc3C(=O)OC)=O)s1)C(=O)O2,C593-1326,296,7,1,5,6,3.96,4.1,-4.51,81.7
Cc1ccc2c(c1)sc(NS(C)(=O)=O)n2,Y030-5132,41,4,1,0,4,2.21,2.18,-3.36,95.68
Cc1cccc(C)c1NC(CCS(c1ccc(cc1)OC)(=O)=O)=O,K978-1358,35,4,1,7,5,3.2,2.84,-3.92,72.47
Cc1cccc(CCNC(CCCOC2=CC(N(C)c3ccccc23)=O)=O)c1,C547-0936,74,3,1,9,5,2.87,2.53,-2.19,58.64
Cc1cccc(NC(C2=CC3=C(CC(C)(C)CC3=O)N(C2=O)c2ccc(cc2)OC)=O)n1,5312-0018,1,7,1,4,7,2.69,7.4,-4.45,88.6
Cc1cccc(c1)c1nc(CCC(NC2CCCCC2)=O)on1,D069-0032,120,4,1,5,5,3.25,2.85,-3.91,68.02
Cc1cccc(c1C)NC(NCC(c1cccnc1)N1CCOCC1)=S,C467-0136,263,4,2,7,5,3.82,1.19,1.36,81.51
Cc1ccccc1N1CC(CC1=O)C(Nc1ccc(cc1)S(NCC1CCCO1)(=O)=O)=O,Y031-3842,2,8,2,3,8,2.09,2.09,-4.23,113.2
Cn1cc(C(C(N2CCCC2)=O)=O)c2ccccc12,8018-3600,30,4,0,2,4,1.61,1.471,-2.971,42.31
Cn1cc(CCC(NCCCc2ccccc2)=O)c2ccccc12,E542-0117,58,1,1,6,3,3.83,3.33,-5.7,34.03
Cn1cccc1CNC(Nc1ccccc1F)=S,K788-0591,107,2,2,5,3,3.18,3.63,-3.37,61.08
c1ccc(cc1)C(NS(c1ccccc1)(=O)=O)=O,0896-7764,8,4,1,2,4,2.75,0.77,-3.64,71.62
c1ccc2c(c1)C(N(C(N2)=S)c1cccc(c1)[Cl])=O,8011-2559,57,3,1,1,3,4.11,2.44,-3.22,64.43
