"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
CC(N1CCN(CC1)Cc1nc2cc(ccc2n1C)NC(COc1cccc(C)c1)=O)=O,D044-0098,256,5,1,8,8,2.14,1.94,-0.9,79.7
CC(N1CCSc2ccc(cc12)S(NCc1cccc(c1)OC)(=O)=O)=O,E459-0296,18,6,1,6,6,1.99,2.7,-6.25,109.4
CC(N=C(Nc1cccc(C)c1C)Nc1nc(C)cc(C)n1)=O,4802-0033,5,4,2,5,6,3.24,3.67,-2.03,79.27
CC(NCCNC(C1CCC(CC1)CNC1c2ccccc2NC(N=1)=S)=O)=O,K297-0929,1,7,4,6,7,1.52,1.36,-4.04,126.7
CC(NCCc1nc2cc(ccc2n1C)NC(COc1ccc(cc1)OC)=O)=O,D073-0156,196,5,2,10,8,1.72,2.6,0.72,94.48
CC(Nc1c(C(Nc2ccccc2OC)=O)nnn1Cc1ccccc1)=O,8014-8736,35,8,2,6,8,3.34,2.019,-5.241,98.14
CC(Nc1ccc(cc1)C(O)=O)=O,0566-0028,95,4,2,1,4,-2.173,-1.67,1.811,66.4
CC(c1ccccc1)NC(C1CCN(CC1)c1nc(c2ccc(cc2)OC)no1)=O,E207-0261,117,5,1,2,7,3.55,2.79,-3.91,80.49
CC1(C)CC(C(=CNC(CCC(N)=O)C(O)=O)C(C1)=O)=O,4401-0042,5,5,4,7,7,-0.77,-3.92,-1.3,126.6
CC1(C)CN2C(c3ccc(cc3)OC)N2C1,C614-5973,65,3,0,2,3,1.94,3.64,-4.18,15.48
CC1(C)Cc2c3C4=NC(C(CCC(O)=O)=NN4C=Nc3sc2CO1)=O,8640-0003,406,8,1,4,8,0.98,-1.93,-1.05,132.2
CC1=C(CCC(N[C@H](CCCNC(N)=O)C(O)=O)=O)C(=O)Oc2cc3c(cc12)c(C)co3,Y041-2363,73,10,5,9,10,0.43,0.4696,-1.51,161.
CC1=C(Cc2ccccc2)C(n2c(N1)nc(c1ccc(cc1)[Cl])n2)=O,D043-0120,77,4,1,3,5,4.22,2.3,-4.18,59.81
CC1=C2COC(C)(C)CC2=C(C#N)C(N1)=O,8640-0512,1,4,1,0,4,0.66,0.66,-2.02,62.12
CC1=CC(N2C(=N1)SC(=N2)N1CCC(CC1)C(NCc1ccccc1[Cl])=O)=O,C885-0086,38,6,1,5,7,3.56,3.14,-3.68,102.7
CC1=CC(N2C(=N1)SC(=N2)N1CCCC(C1)C(NCc1ccc2c(c1)OCO2)=O)=O,C885-0401,60,7,1,3,9,2.8,3.75,-2.09,121.1
CC1C(CC(NN=CC(=Cc2ccccc2)[Br])=O)C(NN=1)=O,3253-5054,34,5,2,6,6,0.88,-0.84,-0.05,82.92
CC1CC(C)CN(CCCNC(CN2C=Nc3c(C2=O)c(c(C)s3)S(N2CC(C)CC(C)C2)(=O)=O)=O)C1,C186-0489,62,8,1,9,9,1.89,2.39,-3.48,126.7
CC1CCCCN1CCCNC(c1ccc(cc1)NC(C1=CSCCO1)=O)=O,G370-0240,48,5,2,9,6,1.6,-0.37,0.33,95.97
CC1CCN(CC1)C(Nc1ccsc1C(=O)OC)=S,C200-1589,38,4,1,5,4,3.52,2.96,-2.37,73.66
CC1Cc2cc(ccc2N1C(C)=O)S(N1CCCC1C(Nc1cc(ccc1OC)OC)=O)(=O)=O,E570-1983,95,7,1,8,9,1.93,2.82,-2.19,113.6
CCC(C(Nc1nnc(s1)S(N1CCCCC1)(=O)=O)=O)Oc1ccccc1,E157-0905,107,8,1,8,8,3.26,2.01,0.09,138.1
CCC(C(O)=O)Sc1nc2ccccc2o1,D058-0186,78,5,1,5,4,2.9,-0.66,0.39,88.63
CCC(C)(C)NC(C1CC(N(CCc2ccc(cc2)F)C1)=O)=O,Y031-4295,56,4,1,6,4,3.51,3.51,-4.11,49.41
CCC(C1=C(CC(CC1=O)c1ccccc1)NCCC(O)=O)=O,8013-1241,7,4,2,6,5,1.79,-1.83,0.34,83.47
CCC(Nc1ccccc1C1C(Nc2ccccc2N=1)=O)=O,D384-0002,271,5,2,3,5,2.36,0.93,-0.93,70.56
CCCC(C)NC(C1CC(N(CCc2ccc(cc2)F)C1)=O)=O,Y031-4251,41,4,1,7,4,3.6,3.6,-4.17,49.41
CCCC(NC1=C(c2ccccc2NC1=O)O)=O,K844-1376,50,3,3,5,5,0.64,-0.11,0.54,78.43
CCCC(NCCc1ccc(cc1)F)=O,Y030-9323,15,2,1,5,2,2.13,1.615,-3.645,29.1
